2015-01-10 18:00:05 - infiSTAR.de AdminLog | 0h 17min | Ludacris (76561198053094647) spawned MH60S @083128   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:18:51 - infiSTAR.de AdminLog | 0h 11min | Gandalf TentMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:18:55 - infiSTAR.de AdminLog | 0h 11min | Gandalf WRECK Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:18:55 - infiSTAR.de AdminLog | 0h 11min | Gandalf WRECK Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:18:56 - infiSTAR.de AdminLog | 0h 11min | Gandalf TentMarker Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:19:22 - infiSTAR.de AdminLog | 0h 11min | Gandalf WRECK Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:19:23 - infiSTAR.de AdminLog | 0h 12min | Gandalf VEINEMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:19:24 - infiSTAR.de AdminLog | 0h 12min | Gandalf VAULTMarker Activated   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Gandalf(any)
2015-01-10 18:20:13 - infiSTAR.de AdminLog | 0h 12min | Ludacris G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:22:13 - infiSTAR.de AdminLog | 0h 14min | Ludacris Moving to Gandalf   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-10 18:27:15 - infiSTAR.de AdminLog | 0h 19min | Ludacris (76561198053094647) spawned Ka52Black @083124   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
