10.01.2015 01:08:32: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:968 MV22_DZ
10.01.2015 19:33:49: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2346 Su34
10.01.2015 20:32:01: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2422 T72_RU
10.01.2015 20:36:00: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:00: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:01: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:01: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:01: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:01: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:02: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:02: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:02: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:02: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:02: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:03: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:03: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:03: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:04: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:04: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:04: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:04: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:04: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:05: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:05: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:05: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:05: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:05: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:05: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:05: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:06: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:06: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:06: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:06: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:06: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:06: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:07: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:08: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:09: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:09: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:09: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:09: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:10: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:11: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:11: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:11: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:11: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:11: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:11: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:12: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:12: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:12: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:12: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:12: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:12: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:12: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:13: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:14: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:14: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:14: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:14: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:14: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:14: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:14: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:15: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:15: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:15: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:15: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:15: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:15: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:16: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:16: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:16: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:16: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:16: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:17: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:17: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:17: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:18: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:18: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:18: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:19: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:19: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:19: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:20: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:20: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
10.01.2015 20:36:20: Ludacris (71.74.108.253:2304) 7d2f7bd7204323d2f9b6100698cae3a7 - #0 0.000000 2:2677 D30_RU
